TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,97,Hormonas,Estradiol,Estradiol,666,9,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,667,10,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,668,10,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,669,11,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,670,11,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,671,12,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,672,12,masculino,4,94,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,659,6,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,660,6,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,661,7,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,662,7,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,663,8,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,664,8,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,665,9,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,666,9,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,667,10,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,668,10,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,669,11,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,670,11,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,671,12,femenino,0,290,pg/ml,3
simple,97,Hormonas,Estradiol,Estradiol,672,12,femenino,0,290,pg/ml,3
simple,98,Hormonas,FSH,FSH,673,6,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,674,7,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,675,8,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,676,9,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,677,10,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,678,11,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,679,12,femenino,1,10,mUI/ml,3
simple,98,Hormonas,FSH,FSH,679,12,femenino,1.4,135.6,mUI/ml,3
simple,98,Hormonas,FSH,FSH,678,11,masculino,1.4,12.6,mUI/ml,3
simple,99,Hormonas,LH,LH,680,6,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,681,7,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,682,8,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,683,9,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,684,10,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,685,11,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,686,12,femenino,0,92.53,mUI/ml,3
simple,99,Hormonas,LH,LH,686,12,femenino,0.4,82,mUI/ml,3
simple,99,Hormonas,LH,LH,680,6,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,681,7,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,682,8,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,683,9,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,684,10,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,685,11,masculino,0.7,7.4,mUI/ml,3
simple,99,Hormonas,LH,LH,686,12,masculino,0.7,7.4,mUI/ml,3
simple,227,Otros,"17 OH-Progesterona","17 OH-Progesterona",1058,15,masculino,0.13,1.22,ng/ml,3
simple,227,Otros,"17 OH-Progesterona","17 OH-Progesterona",1058,15,femenino,0.15,25,ng/ml,3
simple,108,"Perfil Tiroideo",T4,T4,744,6,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",765,6,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,745,7,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",766,7,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,746,8,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",767,8,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,747,9,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",768,9,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,748,10,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",769,10,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,749,11,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",770,11,ambos,5,13,ug/dl,3
simple,108,"Perfil Tiroideo",T4,T4,750,12,ambos,5,13,ug/dl,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",771,12,ambos,5,13,ug/dl,3
